Days
15Aug,Tuesday,1
16Aug,Wednesday,1
17Aug,Thursday,1
18Aug,Friday,1.75
19Aug,Saturday,2
20Aug,Sunday,1.75
21Aug,Monday,1
22Aug,Tuesday,1
23Aug,Wednesday,1
24Aug,Thursday,1
25Aug,Friday,1.75
26Aug,Saturday,2
27Aug,Sunday,1.75
28Aug,Monday,1
29Aug,Tuesday,1
30Aug,Wednesday,1
31Aug,Thursday,1
1Sep,Friday,2.25
2Sep,Saturday,2.5
3Sep,Sunday,2.5
4Sep,Monday,2.25
5Sep,Tuesday,1
6Sep,Wednesday,1
7Sep,Thursday,1
8Sep,Friday,1.75
9Sep,Saturday,2
10Sep,Sunday,1.75
11Sep,Monday,1
12Sep,Tuesday,1
13Sep,Wednesday,1
14Sep,Thursday,1
15Sep,Friday,1.75
16Sep,Saturday,2
17Sep,Sunday,1.75
18Sep,Monday,1
19Sep,Tuesday,1
20Sep,Wednesday,1
21Sep,Thursday,1
22Sep,Friday,1.75
23Sep,Saturday,2
24Sep,Sunday,1.75
25Sep,Monday,1
26Sep,Tuesday,1
27Sep,Wednesday,1
28Sep,Thursday,1
29Sep,Friday,1.75
30Sep,Saturday,2
1Oct,Sunday,1.75
2Oct,Monday,1
3Oct,Tuesday,1
4Oct,Wednesday,1
5Oct,Thursday,1
6Oct,Friday,2.25
7Oct,Saturday,2.5
8Oct,Sunday,2.5
9Oct,Monday,2.25
10Oct,Tuesday,1
11Oct,Wednesday,1
12Oct,Thursday,1
13Oct,Friday,1.75
14Oct,Saturday,2
15Oct,Sunday,1.75
16Oct,Monday,1
17Oct,Tuesday,1
18Oct,Wednesday,1
19Oct,Thursday,1
20Oct,Friday,1.75
21Oct,Saturday,2
22Oct,Sunday,1.75
23Oct,Monday,1
24Oct,Tuesday,1
25Oct,Wednesday,1
26Oct,Thursday,1
27Oct,Friday,1.75
28Oct,Saturday,2
29Oct,Sunday,1.75
30Oct,Monday,1
31Oct,Tuesday,1
1Nov,Wednesday,1
2Nov,Thursday,1
3Nov,Friday,1.75
4Nov,Saturday,2
5Nov,Sunday,1.75
6Nov,Monday,1
7Nov,Tuesday,1
8Nov,Wednesday,1
9Nov,Thursday,2.25
10Nov,Friday,2.5
11Nov,Saturday,2.5
12Nov,Sunday,2.25
13Nov,Monday,1
14Nov,Tuesday,1
15Nov,Wednesday,1
16Nov,Thursday,1
17Nov,Friday,1.75
18Nov,Saturday,2
19Nov,Sunday,1.75
20Nov,Monday,1
21Nov,Tuesday,1
22Nov,Wednesday,2.5
26Nov,Sunday,1.75
27Nov,Monday,1
28Nov,Tuesday,1
29Nov,Wednesday,1
30Nov,Thursday,1
1Dec,Friday,1.75
2Dec,Saturday,2
3Dec,Sunday,1.75
4Dec,Monday,1
5Dec,Tuesday,1
6Dec,Wednesday,1
7Dec,Thursday,1
8Dec,Friday,1.75
9Dec,Saturday,2
10Dec,Sunday,1.75
11Dec,Monday,1
12Dec,Tuesday,1
13Dec,Wednesday,1
14Dec,Thursday,1
15Dec,Friday,1.75
16Dec,Saturday,2
17Dec,Sunday,1.75
18Dec,Monday,1
19Dec,Tuesday,2
